"","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Seq.200","Zymo.Seq.2000","Gram","ZymoSeq2000_Exp","M2_Exp","M3_Exp","ZymoSeq200_Exp","M0_Exp","M1_Exp"
"Cryptococcus",NA,NA,NA,NA,NA,NA,"Y",0.019,NA,NA,NA,NA,NA
"Saccharomyces",NA,NA,NA,NA,NA,NA,"Y",0.019,NA,NA,NA,NA,NA
"Pseudomonas",0,0,0,0,0,0,"N",0.121,0.05,0.018,0.046,NA,NA
"Escherichia-Shigella",0.0891792670603614,0.0845939031357228,0.0449471019666385,0.179069958909339,0.0881022492785125,0.0683142168674699,"N",0.116,0.05,0.18,0.1,0.1,0.0448
"Salmonella",NA,NA,NA,NA,NA,NA,"N",0.102,NA,NA,0.113,NA,NA
"Enterococcus",0.0372820232323139,0.000525163492621098,0.0234958135912248,0.000464047542419185,0.0951225243616763,0.109571084337349,"P; N",0.114,0.05,2e-04,0.104,0.1,NA
"Staphylococcus",0.0760983433302122,0.551173279113751,0.0957227234373986,0.221807240638589,0.231459791301027,0.22493686746988,"P",0.13,0.1,0.198,0.133,0.1,0.4478
"Bacillus",0.362826443676008,0.259153990000603,0.217222690984617,0.0901824006227219,0.168596752755605,0.168277590361446,"P",0.135,0.05,0.018,0.157,0.1,0.0448
"Listeria",5.09887175873993e-05,0,0,0,0.176358709620567,0.172506987951807,"P",0.125,NA,NA,0.159,NA,NA
"Lactobacillus",0.0509238228559244,0.00634454273517921,0.0346044005971312,0.149460731847882,0.0641738325855321,0.0901628915662651,"P",0.12,0.05,0.0018,0.188,0.1,0.0045
"Acinetobacter",0,0,0.0941552541052768,0.0034616449736915,0,0,"N",NA,0.05,0.0018,NA,NA,NA
"Actinomyces",0,0,0.0108067761407153,2.61962322333411e-05,0,0,"P",NA,0.05,2e-04,NA,NA,NA
"Bacteroides",0,0,0.0772246381514896,0.000688586675847822,0,0.000123373493975904,"N",NA,0.05,2e-04,NA,NA,NA
"Bifidobacterium",0.0571490817395496,0.000702583591479577,0.0351398714869864,9.35579722619324e-05,0,0,"P",NA,0.05,2e-04,NA,0.1,4e-04
"Clostridium",0.22426228596327,0.0250304275469542,0.195112611150776,0.0976670384036765,0,0,"P",NA,0.05,0.018,NA,0.1,0.0045
"Deinococcus",0.0180546413639018,0.000138387677109614,0.00894723177776335,2.99385511238184e-05,0,0,"P",NA,0.05,2e-04,NA,0.1,4e-04
"Helicobacter",0,0,0.0324430453689881,0.00113392262381462,0,0,"N",NA,0.05,0.0018,NA,NA,NA
"Neisseria",0,0,0.0319627442071786,0.00107030320267651,0,0,"N",NA,0.05,0.0018,NA,NA,NA
"Porphyromonadaceae",NA,NA,NA,NA,NA,NA,"N",NA,0.05,0.18,NA,NA,NA
"Propionibacterium",0,0,2.59622249626793e-05,0,0,0,"P",NA,0.05,0.0018,NA,NA,NA
"Rhodobacter",NA,NA,NA,NA,NA,NA,"N",NA,0.05,0.18,NA,0.1,0.4478
"Streptococcus",0.0788285573901193,0.00710035235631633,0.0510871681703122,0.117800714034444,0,0,"P",NA,0.1,0.198,NA,0.1,NA
