"","Genus","Obs_Per","Sample"
"1","Lactobacillus",0.220496894409938,"SC249391.PC04925.H01"
"2","Lactobacillus",0.0234132581100141,"SC261522.PC04925.F11"
"4","Lactobacillus",0.0888888888888889,"SC304937.PC07578.D04"
"5","Lactobacillus",0.000186075664241154,"SC304924.PC07578.B.07.PC07578.B07"
"6","Lactobacillus",0.0952877575344798,"SC304934.PC07578.D.02.PC07578.D02"
"7","Enterococcus",0.0505788353308255,"SC249391.PC04925.H01"
"8","Enterococcus",0.0474543882797216,"SC261522.PC04925.F11"
"10","Enterococcus",0.133333333333333,"SC304937.PC07578.D04"
"11","Enterococcus",0,"SC304924.PC07578.B.07.PC07578.B07"
"12","Enterococcus",0.10826025881151,"SC304934.PC07578.D.02.PC07578.D02"
"19","Bacillus",0.0570524596856501,"SC249391.PC04925.H01"
"20","Bacillus",0.00254788661904545,"SC261522.PC04925.F11"
"22","Bacillus",0.2,"SC304937.PC07578.D04"
"23","Bacillus",0,"SC304924.PC07578.B.07.PC07578.B07"
"24","Bacillus",0.160107696237017,"SC304934.PC07578.D.02.PC07578.D02"
"31","Pseudomonas",0.0249322019070947,"SC249391.PC04925.H01"
"32","Pseudomonas",0.000727967605441558,"SC261522.PC04925.F11"
"34","Pseudomonas",0,"SC304937.PC07578.D04"
"35","Pseudomonas",0,"SC304924.PC07578.B.07.PC07578.B07"
"36","Pseudomonas",0.0609782053465009,"SC304934.PC07578.D.02.PC07578.D02"
"43","Staphylococcus",0.0727407925815764,"SC249391.PC04925.H01"
"44","Staphylococcus",0.00340324855543928,"SC261522.PC04925.F11"
"46","Staphylococcus",0.2,"SC304937.PC07578.D04"
"47","Staphylococcus",0,"SC304924.PC07578.B.07.PC07578.B07"
"48","Staphylococcus",0.229950621488166,"SC304934.PC07578.D.02.PC07578.D02"
