"","Genus","ValueQ","ValueN"
"Acinetobacter","Acinetobacter",NA,7.12e-06
"Alistipes","Alistipes",8.75e-05,8.23048333333333e-05
"Anaerostipes","Anaerostipes",NA,1.624e-05
"Bacteroides","Bacteroides",0.000349918,0.000229034166666667
"Bifidobacterium","Bifidobacterium",NA,8.03e-06
"Bilophila","Bilophila",NA,1.89325e-05
"Lachnoclostridium","Lachnoclostridium",NA,3.45666666666667e-05
"Collinsella","Collinsella",NA,1.6565e-05
"Fusobacterium","Fusobacterium",NA,5.5581e-05
"Neisseria","Neisseria",NA,8.87e-06
"Paenibacillus","Paenibacillus",NA,1.7586e-05
"Parabacteroides","Parabacteroides",NA,3.09333333333333e-05
"Pediococcus","Pediococcus",NA,1.3405e-05
"Ralstonia","Ralstonia",NA,1.26075e-05
"Rhodobacter","Rhodobacter",NA,8.37e-06
"Streptococcus","Streptococcus",NA,1.6558e-05
"Subdoligranulum","Subdoligranulum",0.000481137,0.00011572325
"[Eubacterium] coprostanoligenes group","[Eubacterium] coprostanoligenes group",NA,2.53233333333333e-05
"[Eubacterium] eligens group","[Eubacterium] eligens group",NA,8.37e-06
"[Eubacterium] hallii group","[Eubacterium] hallii group",NA,2.0115e-05
"[Eubacterium] rectale group","[Eubacterium] rectale group",NA,6.37961666666667e-05
"[Eubacterium] ventriosum group","[Eubacterium] ventriosum group",NA,7.92e-06
"[Eubacterium] xylanophilum group","[Eubacterium] xylanophilum group",NA,8.37e-06
"[Ruminococcus] gauvreauii group","[Ruminococcus] gauvreauii group",NA,1.01775e-05
"[Ruminococcus] torques group","[Ruminococcus] torques group",NA,8.2e-06
"Akkermansia","Akkermansia",0.000251504,0.0001142205
"Ambiguous_taxa","Ambiguous_taxa",NA,6.3038e-05
"Anaerotruncus","Anaerotruncus",NA,7.995e-06
"Blautia","Blautia",NA,4.77138333333333e-05
"Butyricicoccus","Butyricicoccus",NA,3.84973333333333e-05
"Candidatus Stoquefichus","Candidatus Stoquefichus",NA,9.655e-06
"Carnobacterium","Carnobacterium",NA,0.000930623166666666
"Christensenellaceae R-7 group","Christensenellaceae R-7 group",NA,1.2365e-05
"Clostridium sensu stricto 1","Clostridium sensu stricto 1",NA,1.4922e-05
"Coprococcus 1","Coprococcus 1",NA,8.37e-06
"Coprococcus 2","Coprococcus 2",NA,5.12126e-05
"Dialister","Dialister",3.28e-05,1.68e-05
"Dorea","Dorea",0.000109349,4.6285e-05
"Enterobacter","Enterobacter",NA,0.0042096675
"Erwinia","Erwinia",NA,0.000607260833333333
"Erysipelatoclostridium","Erysipelatoclostridium",NA,7.12e-06
"Erysipelotrichaceae UCG-003","Erysipelotrichaceae UCG-003",NA,2.5385e-05
"Faecalibacterium","Faecalibacterium",0.000721706,0.0001193215
"Family XIII AD3011 group","Family XIII AD3011 group",NA,8.87e-06
"Fusicatenibacter","Fusicatenibacter",NA,3.19825e-05
"Holdemania","Holdemania",NA,8.26e-06
"Hungatella","Hungatella",NA,6.97e-06
"Kluyvera","Kluyvera",NA,0.00199461166666667
"Lachnospira","Lachnospira",NA,2.19666666666667e-05
"Lachnospiraceae ND3007 group","Lachnospiraceae ND3007 group",NA,2.165e-05
"Lachnospiraceae NK4A136 group","Lachnospiraceae NK4A136 group",NA,2.42633333333333e-05
"Lachnospiraceae UCG-001","Lachnospiraceae UCG-001",NA,4.1185e-05
"Lachnospiraceae UCG-004","Lachnospiraceae UCG-004",NA,7.12e-06
"Lachnospiraceae UCG-008","Lachnospiraceae UCG-008",NA,8.87e-06
"Other","Other",NA,0.0011887715
"Oxalobacter","Oxalobacter",NA,7.745e-06
"Phascolarctobacterium","Phascolarctobacterium",NA,1.4665e-05
"Raoultella","Raoultella",NA,0.0997960846666667
"Roseburia","Roseburia",NA,6.17166e-05
"Ruminiclostridium","Ruminiclostridium",NA,8.2e-06
"Ruminiclostridium 5","Ruminiclostridium 5",NA,2.06725e-05
"Ruminiclostridium 9","Ruminiclostridium 9",NA,6.97e-06
"Ruminococcaceae NK4A214 group","Ruminococcaceae NK4A214 group",NA,5.66285e-05
"Ruminococcaceae UCG-002","Ruminococcaceae UCG-002",NA,6.40681666666667e-05
"Ruminococcaceae UCG-003","Ruminococcaceae UCG-003",NA,1.68233333333333e-05
"Ruminococcaceae UCG-004","Ruminococcaceae UCG-004",NA,8.62e-06
"Ruminococcaceae UCG-005","Ruminococcaceae UCG-005",NA,2.45533333333333e-05
"Ruminococcaceae UCG-013","Ruminococcaceae UCG-013",NA,3.35e-05
"Ruminococcaceae UCG-014","Ruminococcaceae UCG-014",NA,2.4906e-05
"Ruminococcus 1","Ruminococcus 1",NA,8.06026666666667e-05
"Ruminococcus 2","Ruminococcus 2",NA,0.000112428333333333
"Sellimonas","Sellimonas",NA,7.5e-06
"Serratia","Serratia",NA,0.00956139716666667
"Succiniclasticum","Succiniclasticum",NA,1.1735e-05
"Tyzzerella","Tyzzerella",NA,1.67e-05
"Tyzzerella 3","Tyzzerella 3",NA,7.12e-06
"Coprococcus","Coprococcus",0.000174959,NA
"Incertae Sedis","Incertae Sedis",9.84e-05,NA
"Pseudobutyrivibrio","Pseudobutyrivibrio",0.000623291,NA
"Ruminococcus","Ruminococcus",0.000699836,NA
"uncultured","uncultured",0.000535812,NA
"Basidiomycota","Basidiomycota",0.0009535755,NA
"other","other",0.168984437,NA
