"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Erysipelotrichales",0.029635898362123,2.08017695371953e-05,1.62668192132824e-05,7.07035236279392e-06,1.46572046267909e-05,5.2732876419622e-05,1.05889298033371e-05,2.34425059517918e-05
"Clostridiales",0.160529515489045,0.202810319064475,0.024595430650483,0.167616843464755,0.076530151091351,0.00443034575123961,0.000661808112708569,0.00131538505618387
"Verrucomicrobiales",0.00416281077551669,8.32070781487812e-05,6.23561403175825e-05,0.000110768853683771,0.000131914841641118,0.000359720551040916,7.6769741074194e-05,0.000143259758594283
"Enterobacteriales",0.105665072174214,0.0841535586627236,0.0874612646367484,0.0410905311484373,0.146799232939625,0.36536159658683,0.192228784417331,0.157994675946426
"Gossypium arboreum",2.29646635894017e-05,0,0,2.35678412093131e-06,0,9.21355089859566e-06,0,0
"Burkholderiales",0.061165760803788,3.46696158953255e-06,2.71113653554707e-06,7.07035236279392e-06,1.71000720645894e-05,1.56826398273969e-05,1.32361622541714e-05,7.81416865059726e-06
"Campylobacterales",0,3.46696158953255e-06,0,0.0311896810564049,0.000925846758925627,7.84131991369843e-07,0,0
"Neisseriales",3.10333291748672e-07,0,0,0.028304977292385,0.000764617508030927,7.84131991369843e-07,2.64723245083428e-06,0
"Actinomycetales",4.03433279273274e-06,0,0,0.0135632926159597,5.13002161937682e-05,1.37223098489723e-06,0,0
"Coriobacteriales",0.00570082256942311,3.46696158953255e-06,5.42227307109413e-06,4.71356824186261e-06,2.44286743779849e-06,3.2345444644006e-05,1.32361622541714e-05,1.30236144176621e-05
"Rhodobacterales",9.30999875246017e-07,0.00439264033393774,0.064053311788835,0.00319344248386192,0.0107486167263133,2.54842897195199e-06,0,2.60472288353242e-06
"Lactobacillales",0.0937287227736845,0.196815942476173,0.016790068564643,0.156719073689569,0.304122338801285,0.225406778272173,0.169642597146813,0.216150323767054
"Selenomonadales",0.000548669259811653,1.73348079476627e-05,1.08445461421883e-05,1.17839206046565e-05,2.44286743779849e-05,6.44948562901696e-05,1.05889298033371e-05,3.12566746023891e-05
"Bacillales",0.0528994129114787,0.427663579915198,0.805787734276086,0.309365624418169,0.278682317304052,0.333198658663816,0.587900029913727,0.572223756114587
"Desulfovibrionales",0.0304526955860055,1.38678463581302e-05,1.08445461421883e-05,1.64974888465191e-05,7.32860231339546e-06,2.23477617540405e-05,7.94169735250283e-06,1.56283373011945e-05
"Bifidobacteriales",0.0147104186954706,0.0671446451044769,0.000742851410739896,0.0381351238607895,0.000102600432387536,5.4889239395889e-06,2.64723245083428e-06,0
"Deinococcales",6.20666583497344e-07,0.0164958032429959,0.000135556826777353,0.00723061368301725,2.68715418157834e-05,3.92065995684922e-07,0,0
"Fusobacteriales",0.23078990374082,7.62731549697161e-05,3.79559114976589e-05,6.36331712651453e-05,7.08431556961561e-05,9.17434429902717e-05,5.02974165658512e-05,5.73039034377133e-05
"Bacteroidales",0.200692539773866,0.000277356927162604,0.000254846834341424,0.116220095355486,0.176057456242137,0.00138007230481092,0.00030972619674761,0.000364661203694539
"Pseudomonadales",0.000604839585618162,2.42687311267278e-05,2.44002288199236e-05,0.0871420928714351,0.00491504928485056,0.0695591727564317,0.0490691007086641,0.051656864226215
"Synergistales",0.00868064283679386,0,8.1334096066412e-06,4.71356824186261e-06,4.88573487559698e-06,2.74446196979445e-06,0,0
"Rickettsiales",3.41366620923539e-06,0,0,0,0,9.80164989212304e-07,0,0
